,user id,test group,converted,total ads,most ads day,most ads hour,mapped_customer_id,predicted_clv_90d
15,1461774,ad,True,9,Wednesday,18,13582.0,983.9604308635076
44,1355531,ad,True,265,Tuesday,12,17651.0,15138.527515404206
107,1389878,ad,True,1328,Saturday,19,16711.0,5959.169538682364
121,1475989,ad,True,323,Saturday,20,13019.0,1453.531256093423
135,1241733,ad,True,246,Friday,20,17193.0,5428.1521142686815
160,1563006,ad,True,163,Saturday,6,16812.0,379.547789543077
169,1134328,ad,True,164,Friday,21,16463.0,8018.49837300951
172,1437651,ad,True,312,Wednesday,20,12535.0,3914.7046653539855
220,1426764,ad,True,131,Sunday,17,14710.0,4659.630547726851
227,1015462,ad,True,241,Sunday,9,13467.0,8039.633381124821
283,1192762,ad,True,167,Sunday,14,15723.0,1440.990167388618
292,1349926,ad,True,57,Sunday,19,15787.0,8059.115423516034
337,1035809,ad,True,163,Saturday,8,14024.0,2492.8369027851945
349,1106405,ad,True,248,Thursday,11,17109.0,4326.451707505009
351,1133910,ad,True,53,Monday,19,18179.0,5889.173612152215
369,1015846,ad,True,423,Tuesday,12,16446.0,853083.3480314243
402,1455029,ad,True,657,Sunday,11,13029.0,5394.638650352418
410,1155518,ad,True,117,Friday,13,13885.0,1589.2289541278933
425,1097374,ad,True,84,Sunday,18,15973.0,1186.9992509997337
479,1005150,ad,True,160,Thursday,20,15237.0,4585.208605909327
521,1548830,ad,True,159,Monday,11,16229.0,7042.212339501088
522,1573270,ad,True,249,Wednesday,17,13740.0,3120.253804295464
548,1443607,ad,True,290,Thursday,23,14893.0,4000.246406181794
569,1246394,ad,True,194,Tuesday,18,12627.0,26198.926954544004
591,1423312,ad,True,105,Saturday,18,16211.0,3886.110314530256
595,1030768,ad,True,247,Wednesday,13,16592.0,15937.355914559039
608,1137814,ad,True,167,Wednesday,19,15030.0,4494.931906270979
652,1439141,ad,True,44,Tuesday,21,14141.0,8126.906358699758
673,1174355,ad,True,720,Monday,13,14493.0,11194.613663456661
683,1639664,ad,True,179,Thursday,10,16852.0,2842.011210955805
698,1447000,ad,True,161,Tuesday,12,17354.0,5616.908688239413
733,1427862,ad,True,90,Wednesday,14,17804.0,1124.902345035171
740,1364403,ad,True,56,Thursday,16,13282.0,5152.682976766831
742,1061977,ad,True,173,Friday,13,16426.0,8617.598939926933
744,1040923,ad,True,10,Monday,19,15791.0,8396.451138227718
756,1324637,ad,True,375,Friday,11,13211.0,5910.4237536501905
759,1062753,ad,True,108,Saturday,11,15682.0,357.4839475886673
774,1457509,ad,True,176,Saturday,19,15253.0,5091.094587901624
894,1398566,ad,True,127,Wednesday,14,12695.0,3020.578806513999
900,1280537,ad,True,158,Friday,18,15224.0,1624.7578450342928
938,1301544,ad,True,152,Wednesday,17,16344.0,2297.2543226659823
942,1050191,ad,True,53,Thursday,19,16043.0,5013.743232194805
945,1449025,ad,True,490,Tuesday,14,14264.0,3273.36300394915
954,1202851,ad,True,215,Thursday,20,14431.0,4336.78678992813
957,915026,psa,True,88,Sunday,19,15971.0,12231.007752340574
960,1631152,ad,True,228,Friday,18,13474.0,1765.203828609575
961,1481900,ad,True,532,Thursday,9,18005.0,5757.503249777746
968,1482145,ad,True,203,Saturday,10,12391.0,5532.488940009462
978,1613754,ad,True,102,Tuesday,14,16788.0,4191.0646280427145
988,1519188,ad,True,63,Friday,21,15106.0,6346.306855080874
994,1152942,ad,True,325,Sunday,9,14563.0,458.7914408867441
1002,1470595,ad,True,82,Monday,13,17883.0,2890.1499794842716
1008,1465821,ad,True,231,Monday,17,16686.0,10538.421624584766
1017,1383191,ad,True,393,Saturday,11,13803.0,2755.318656899058
1072,1401909,ad,True,32,Wednesday,12,17221.0,2491.797812911851
1092,1261834,ad,True,45,Saturday,11,16045.0,7489.368882657008
1118,1565439,ad,True,468,Saturday,22,17740.0,704.745018897495
1125,1469751,ad,True,29,Tuesday,10,14461.0,12860.788572839896
1133,1165035,ad,True,338,Thursday,19,12585.0,3086.3835501713875
1137,1296336,ad,True,394,Sunday,19,15139.0,1289.2545290768744
1145,1220251,ad,True,288,Thursday,19,13764.0,5460.447745855231
1150,1032030,ad,True,728,Monday,2,17043.0,5405.376199048571
1209,1625686,ad,True,571,Monday,19,17682.0,10086.466601241005
1211,1349640,ad,True,216,Monday,21,14152.0,4671.09950573113
1227,1193071,ad,True,226,Friday,21,13797.0,1490.5204348303978
1258,1534733,ad,True,121,Wednesday,10,12839.0,20089.183779500163
1259,1055754,ad,True,226,Wednesday,12,13601.0,3692.032755213894
1285,1380632,ad,True,698,Wednesday,20,13878.0,5420.668204992084
1345,1025546,ad,True,39,Tuesday,12,17968.0,1054.1813430048985
1355,1030371,ad,True,257,Saturday,19,12897.0,2001.8236351528296
1368,1146390,ad,True,126,Tuesday,15,13049.0,5179.266401593084
1387,1136799,ad,True,121,Friday,19,15254.0,2682.172348545116
1401,1123625,ad,True,136,Sunday,21,17796.0,5199.920883833354
1415,1211010,ad,True,427,Friday,15,12432.0,12158.733181779333
1511,1605718,ad,True,857,Friday,13,15986.0,2151.050428897555
1526,1008730,ad,True,151,Tuesday,17,15208.0,4185.487115277628
1551,1500001,ad,True,73,Saturday,20,16163.0,4414.694660989502
1558,1434266,ad,True,90,Wednesday,12,14454.0,1628.3577430813064
1574,1348170,ad,True,323,Friday,19,12915.0,3287.7313417476175
1630,1557629,ad,True,231,Sunday,19,17361.0,2074.843294975528
1639,1336698,ad,True,104,Tuesday,18,15572.0,9768.855217709153
1724,1020747,ad,True,566,Tuesday,20,16718.0,4386.021907777088
1822,1017148,ad,True,347,Saturday,21,12639.0,3103.6424925343513
1839,1260789,ad,True,39,Wednesday,20,16725.0,1164.603372672786
1851,1467703,ad,True,195,Monday,19,15811.0,9762.493388380513
1871,1300704,ad,True,109,Sunday,9,17470.0,7802.93368509279
1899,1307155,ad,True,134,Saturday,15,13508.0,1164.6964236396323
1931,1307577,ad,True,96,Friday,13,16208.0,7780.065778143071
2036,1486704,ad,True,167,Friday,19,16266.0,4342.7063395869445
2039,1273407,ad,True,197,Saturday,19,14546.0,10168.259378846335
2087,1232907,ad,True,53,Saturday,11,16157.0,8180.39686744087
2114,1543010,ad,True,332,Saturday,7,17737.0,5095.1362525150835
2117,1595330,ad,True,118,Sunday,21,13811.0,2929.8708722777264
